"Program Name","Address","Phone","Accreditation Status","Email","lon","lat"
" University of Texas RGV Program","University of Texas Rio Grande Valley School of Medicine
2102 Treasure Hills Blvd Harlingen, TX 78550
","(305) 243-7931
","Continued Accreditation","ADD.Department@utrgv.edu",-97.6654781,26.1743573
" University of Texas Southwestern Medical Center Program","University of Texas Southwestern Medical School
5323 Harry Hines Boulevard Dallas, TX 75390-9070
","(214) 648-7312
","Continued Accreditation","psychiatry.education@utsouthwestern.edu",-96.8402121,32.8138026
" University of Toledo Program","University of Toledo Department of Psychiatry
3000 Arlington Avenue, MS 1193
Toledo, OH 43614-2598
","(419) 383-5678
","Continued Accreditation","Victoria.Kelly2@utoledo.edu",-83.6166667,41.6178987
" University of Utah Health Program","University of Utah School of Medicine 501 Chipeta Way
Rm. 1540
Salt Lake City, UT 84108 ","(801) 581-4096
","Continued Accreditation","paul.carlson@hsc.utah.edu",-111.8236614,40.7591075
" University of Vermont Medical Center Program","University of Vermont Medical Center 111 Colchester Ave., Patrick 4
Burlington, VT 05401
","(802) 847-2751
","Continued Accreditation","psychiatryresidency@uvmhealth.org",-73.1942467,44.4796617
" University of Virginia Medical Center Program","University of Virginia Health System PO Box 800623
Charlottesville, VA 22908
","(434) 924-5408
","Continued Accreditation","dameron@virginia.edu",-78.4980982,38.0313454
" University of Washington (Boise) Program","VA Hospital
Psychiatry Residency Program 500 W Fort St. B116
Boise, ID 83702
","(208) 422-1000
","Initial Accreditation","boipsychresidency@va.gov",-116.1904254,43.6209583
" University of Washington Program","University of Washington Medical Center 1959 NE Pacific St.
Box 356560
Seattle, WA 98195-6560
","(206) 543-4292
","Continued Accreditation","psychres@uw.edu",-122.3061223,47.6489845
" University of Wisconsin Hospitals and Clinics Program","Univ of Wisconsin Psychiatric Inst and Clinics 6001 Research Park Blvd
Madison, WI 53719
","(608) 265-8130
","Continued Accreditation","residency@psychiatry.wisc.edu",-89.4835449,43.054237
" UPMC Medical
Education Program","UPMC Western Psychiatric Hospital 3811 O'Hara Street
8th Floor, Office of Residency Training Pittsburgh, PA 15213
","(412) 246-5320
","Continued Accreditation","wpic_ort@upmc.edu",-79.9599752,40.4434742
" USA Health
Program","USA Department of Psychiatry 1015 Montlimar Drive
Suite A-210 Mobile, AL 36609
","(251) 706-5552
","Continued Accreditation","bandrews@altapointe.org",-88.1329134,30.6703087
" Vanderbilt University Medical Center Program","Vanderbilt University Medical Center Department of Psychiatry
1601 23rd Ave. South,  Suite 3105
Nashville, TN 37212-8645
","(615) 327-7119
","Continued Accreditation","shana.scanlin@vumc.org",-86.8041854,36.1384891
" Vidant Medical Center/East Carolina University Program","Department of Psychiatry and Behavioral Medicine
ECU Outpatient Psychiatry Clinic 905 Johns Hopkins Drive Greenville, NC 27834
","(252) 744-2663
","Continued Accreditation","tylers@ecu.edu",-77.4164251,35.602171
" Virginia Commonwealth University Health System Program","VCU Health System 1200 East Broad Street PO Box 980710
Richmond, VA 23298
","(804) 828-7912
","Continued Accreditation","monique.peterson@vcuhealth.org",-77.4306169,37.5393827
" Wake Forest University School of Medicine Program","Wake Forest School of Medicine Medical Center Boulevard Winston-Salem, NC 27157-1087
","(336) 716-5089","Continued Accreditation",NA,-80.2399434,36.1002069
" Washington University/B-JH/SLCH Consortium Program","Washington University School of Medicine Dept of Psychiatry, Box 8134
660 South Euclid Avenue St Louis, MO 63110-1093 ","(314) 362-2462
","Continued Accreditation","psychresidency@wustl.edu",-90.2625254,38.6352302
" West Virginia University Program","West Virginia University School of Medicine Department of Behavioral Medicine and Psychiatry
930 Chestnut Ridge Road Morgantown, WV 26505
","(304) 293-9517
","Continued Accreditation","sbienekcate@hsc.wvu.edu",-79.9557651,39.6549599
" Westchester Medical Center Program","Westchester Medical Center 100 Woods Road
Behavioral Health Center/Taylor Pavilion North
Valhalla, NY 10595
","(914) 493-1943
","Continued Accreditation","alexander.lerman@wmchealth.org",-73.80582,41.08878
" Western Michigan University Homer Stryker MD School of Medicine Program","Western Michigan University Homer Stryker
M.D. School of Medicine - Psychiatry 1000 Oakland Drive
Kalamazoo, MI 49008
","(269) 337-4458
","Continued Accreditation","psychiatry@med.wmich.edu",-85.599277,42.2829065
" Wright Center for Graduate Medical Education Program","501 S. Washington Avenue Scranton, PA 18505
","(570) 650-8711
","Continued Accreditation","psychiatry@thewrightcenter.org",-75.669719,41.401634
" Wright State University Program","Wright State University School of Medicine 2555 University Blvd.
Fairborn, OH 45324
","(937) 775-7792
","Continued Accreditation","brian.merrill@wright.edu",-84.0655511,39.774807
" Yale-New Haven Medical Center Program","Yale University School of Medicine 300 George Street, Suite 901
Room 18
New Haven, CT 06511 ","(203) 785-2089
","Continued Accreditation","richard.belitsky@yale.edu",-72.9311075,41.3048024
" Zucker School of Medicine at Hofstra/Northwell at Mather Hospital Program","75 North Country Road Port Jefferson, NY 11777 ","(716) 491-6000
","Continued Accreditation","KUnterweiser@northwell.edu",-73.0535478,40.9396333
" Zucker School of Medicine at Hofstra/Northwell at Staten Island University Hospital Program","Staten Island University Hospital 376 Seguine Avenue
Staten Island, NY 10309 ","(718) 226-6233
","Continued Accreditation","lbiondolillo@northwell.edu",-74.1974998,40.5163419
" Zucker School of Medicine at Hofstra/Northwell at Zucker Hillside Hospital Program","The Zucker Hillside Hospital at Northwell Health
75-59 263rd Street Kaufmann Building Glen Oaks, NY 11004 ","(718) 470-8005
","Continued Accreditation","storres1@northwell.edu",-73.7108993,40.7508318
